FID	IID	Population
4461875330_R02C02	4461875330_R02C02	Kabardin
4461875340_R01C01	4461875340_R01C01	Megrel
4461875340_R01C02	4461875340_R01C02	Megrel
4461875340_R02C01	4461875340_R02C01	Megrel
4461875340_R02C02	4461875340_R02C02	Megrel
4461875341_R01C01	4461875341_R01C01	Megrel
4461875341_R01C02	4461875341_R01C02	Megrel
4461875341_R02C01	4461875341_R02C01	Megrel
4461875341_R02C02	4461875341_R02C02	Megrel
4461875345_R01C01	4461875345_R01C01	Megrel
4461875345_R01C02	4461875345_R01C02	Megrel
4461875345_R02C01	4461875345_R02C01	Megrel
4461875345_R02C02	4461875345_R02C02	Megrel
4461875346_R01C01	4461875346_R01C01	Megrel
4461875346_R01C02	4461875346_R01C02	Megrel
4461875346_R02C01	4461875346_R02C01	Megrel
4461875346_R02C02	4461875346_R02C02	Megrel
4461875347_R01C01	4461875347_R01C01	Megrel
4461875347_R01C02	4461875347_R01C02	Megrel
4461875347_R02C01	4461875347_R02C01	Megrel
4461875347_R02C02	4461875347_R02C02	Megrel
4461875357_R01C01	4461875357_R01C01	Megrel
4461875357_R01C02	4461875357_R01C02	Megrel
4461875357_R02C01	4461875357_R02C01	Megrel
4461875357_R02C02	4461875357_R02C02	Megrel
4461875358_R01C01	4461875358_R01C01	Megrel
4461875358_R01C02	4461875358_R01C02	Megrel
4461875358_R02C01	4461875358_R02C01	Megrel
4461875358_R02C02	4461875358_R02C02	Megrel
4461875363_R01C01	4461875363_R01C01	Megrel
4461875363_R01C02	4461875363_R01C02	Megrel
4461875363_R02C01	4461875363_R02C01	Megrel
4461875363_R02C02	4461875363_R02C02	Megrel
4461875369_R01C01	4461875369_R01C01	Megrel
4461875369_R01C02	4461875369_R01C02	Megrel
4461875369_R02C01	4461875369_R02C01	Megrel
4461875369_R02C02	4461875369_R02C02	Megrel
4461875588_R01C02	4461875588_R01C02	Ukrainian
4461875588_R02C01	4461875588_R02C01	Ukrainian
4461875588_R02C02	4461875588_R02C02	Ukrainian
4461875589_R01C02	4461875589_R01C02	Ukrainian
4461875589_R02C01	4461875589_R02C01	Ukrainian
4461875589_R02C02	4461875589_R02C02	Ukrainian
4461875590_R01C01	4461875590_R01C01	Ukrainian
4461875590_R01C02	4461875590_R01C02	Ukrainian
4461875590_R02C01	4461875590_R02C01	Ukrainian
4461875590_R02C02	4461875590_R02C02	Ukrainian
4461875592_R01C01	4461875592_R01C01	Ukrainian
4461875592_R01C02	4461875592_R01C02	Ukrainian
4461875592_R02C01	4461875592_R02C01	Ukrainian
4461875592_R02C02	4461875592_R02C02	Ukrainian
4461875595_R01C01	4461875595_R01C01	Ukrainian
4461875595_R01C02	4461875595_R01C02	Ukrainian
4461875595_R02C01	4461875595_R02C01	Ukrainian
4461875595_R02C02	4461875595_R02C02	Ukrainian
4461875597_R01C01	4461875597_R01C01	Ukrainian
4461875597_R01C02	4461875597_R01C02	Ukrainian
4461875597_R02C01	4461875597_R02C01	Ukrainian
4461875597_R02C02	4461875597_R02C02	Ukrainian
4461875835_R01C01	4461875835_R01C01	Ukrainian
4461875835_R01C02	4461875835_R01C02	Ukrainian
4461875835_R02C01	4461875835_R02C01	Ukrainian
4461875835_R02C02	4461875835_R02C02	Ukrainian
4461875836_R01C01	4461875836_R01C01	Ukrainian
4461875836_R01C02	4461875836_R01C02	Karachay
4461875836_R02C01	4461875836_R02C01	Ukrainian
4461875836_R02C02	4461875836_R02C02	Karachay
4461875602_R01C01	4461875602_R01C01	Komi
4461875602_R01C02	4461875602_R01C02	Komi
4461875602_R02C01	4461875602_R02C01	Komi
4461875602_R02C02	4461875602_R02C02	Komi
4461875636_R01C01	4461875636_R01C01	Komi
4461875636_R01C02	4461875636_R01C02	Komi
4461875636_R02C01	4461875636_R02C01	Komi
4461875636_R02C02	4461875636_R02C02	Komi
4461875652_R01C01	4461875652_R01C01	Komi
4461875652_R01C02	4461875652_R01C02	Komi
4461875652_R02C01	4461875652_R02C01	Komi
4461875652_R02C02	4461875652_R02C02	Komi
4461875653_R01C01	4461875653_R01C01	Komi
4461875653_R01C02	4461875653_R01C02	Komi
4461875653_R02C01	4461875653_R02C01	Komi
4461875653_R02C02	4461875653_R02C02	Komi
4461875654_R01C01	4461875654_R01C01	Komi
4461875654_R01C02	4461875654_R01C02	Komi
4461875654_R02C01	4461875654_R02C01	Komi
4461875654_R02C02	4461875654_R02C02	Komi
4461875677_R01C01	4461875677_R01C01	Komi
4461875677_R01C02	4461875677_R01C02	Komi
4461875677_R02C01	4461875677_R02C01	Komi
4461875677_R02C02	4461875677_R02C02	Komi
4461875688_R01C01	4461875688_R01C01	Komi
4461875688_R01C02	4461875688_R01C02	Komi
4461875688_R02C01	4461875688_R02C01	Komi
4461875688_R02C02	4461875688_R02C02	Komi
4461875700_R01C01	4461875700_R01C01	Komi
4461875700_R01C02	4461875700_R01C02	Komi
4461875700_R02C01	4461875700_R02C01	Komi
4461875700_R02C02	4461875700_R02C02	Komi
4461875715_R01C01	4461875715_R01C01	Cherkes
4461875715_R01C02	4461875715_R01C02	Cherkes
4461875715_R02C01	4461875715_R02C01	Cherkes
4461875715_R02C02	4461875715_R02C02	Cherkes
4461875730_R01C01	4461875730_R01C01	Cherkes
4461875730_R01C02	4461875730_R01C02	Cherkes
4461875730_R02C01	4461875730_R02C01	Cherkes
4461875730_R02C02	4461875730_R02C02	Cherkes
4461875759_R01C02	4461875759_R01C02	Cherkes
4461875759_R02C01	4461875759_R02C01	Cherkes
4461875759_R02C02	4461875759_R02C02	Cherkes
4461875773_R01C01	4461875773_R01C01	Cherkes
4461875773_R01C02	4461875773_R01C02	Cherkes
4461875773_R02C01	4461875773_R02C01	Cherkes
4461875773_R02C02	4461875773_R02C02	Cherkes
4461875774_R01C02	4461875774_R01C02	Cherkes
4461875774_R02C01	4461875774_R02C01	Cherkes
4461875774_R02C02	4461875774_R02C02	Cherkes
4461875775_R01C01	4461875775_R01C01	Cherkes
4461875775_R01C02	4461875775_R01C02	Cherkes
4461875775_R02C01	4461875775_R02C01	Cherkes
4461875775_R02C02	4461875775_R02C02	Cherkes
4461875776_R01C01	4461875776_R01C01	Cherkes
4461875776_R01C02	4461875776_R01C02	Cherkes
4461875776_R02C01	4461875776_R02C01	Cherkes
4461875776_R02C02	4461875776_R02C02	Cherkes
4461875795_R01C02	4461875795_R01C02	Cherkes
4461875795_R02C01	4461875795_R02C01	Cherkes
4461875795_R02C02	4461875795_R02C02	Cherkes
4461875834_R01C01	4461875834_R01C01	Cherkes
4461875834_R01C02	4461875834_R01C02	Cherkes
4461875834_R02C01	4461875834_R02C01	Cherkes
4461875834_R02C02	4461875834_R02C02	Cherkes
4461875840_R01C02	4461875840_R01C02	Karachay
4461875840_R02C02	4461875840_R02C02	Karachay
4461875843_R01C01	4461875843_R01C01	Karachay
4461875843_R01C02	4461875843_R01C02	Karachay
4461875843_R02C01	4461875843_R02C01	Karachay
4461875871_R01C01	4461875871_R01C01	Karachay
4461875871_R02C01	4461875871_R02C01	Karachay
4461875872_R01C01	4461875872_R01C01	Karachay
4461875872_R01C02	4461875872_R01C02	Karachay
4475687192_R01C01	4475687192_R01C01	Karachay
4475687192_R02C02	4475687192_R02C02	Karachay
4475687243_R01C01	4475687243_R01C01	Karachay
4475687243_R01C02	4475687243_R01C02	Karachay
4475687243_R02C02	4475687243_R02C02	Karachay
4475687244_R01C01	4475687244_R01C01	Karachay
4475687244_R02C02	4475687244_R02C02	Karachay
4475687245_R01C01	4475687245_R01C01	Karachay
4475687245_R01C02	4475687245_R01C02	Karachay
4475687245_R02C01	4475687245_R02C01	Karachay
4475687276_R01C01	4475687276_R01C01	Karachay
4475687276_R02C02	4475687276_R02C02	Karachay
4475687277_R01C01	4475687277_R01C01	Abkhaz
4475687277_R01C02	4475687277_R01C02	Abkhaz
4475687277_R02C01	4475687277_R02C01	Abkhaz
4475687297_R01C02	4475687297_R01C02	Abkhaz
4475687297_R02C01	4475687297_R02C01	Abkhaz
4475687297_R02C02	4475687297_R02C02	Abkhaz
4475687349_R02C02	4475687349_R02C02	Abkhaz
4475687350_R01C02	4475687350_R01C02	Abkhaz
4475687350_R02C02	4475687350_R02C02	Abkhaz
4475687351_R02C02	4475687351_R02C02	Abkhaz
4475687460_R01C01	4475687460_R01C01	Abkhaz
4475687460_R01C02	4475687460_R01C02	Abkhaz
4475687460_R02C01	4475687460_R02C01	Abkhaz
4475687460_R02C02	4475687460_R02C02	Abkhaz
4475687462_R01C01	4475687462_R01C01	Abkhaz
4475687462_R01C02	4475687462_R01C02	Abkhaz
4475687462_R02C01	4475687462_R02C01	Abkhaz
4475687462_R02C02	4475687462_R02C02	Abkhaz
4459273137_R01C01	4459273137_R01C01	Abkhaz
4459273137_R01C02	4459273137_R01C02	Abkhaz
4459273137_R02C01	4459273137_R02C01	Abkhaz
4459273137_R02C02	4459273137_R02C02	Abkhaz
4459273138_R01C01	4459273138_R01C01	Abkhaz
4459273138_R01C02	4459273138_R01C02	Abkhaz
4459273138_R02C01	4459273138_R02C01	Abkhaz
4459273138_R02C02	4459273138_R02C02	Abkhaz
4459273139_R01C02	4459273139_R01C02	Udmurt
4459273139_R02C01	4459273139_R02C01	Udmurt
4459273152_R01C01	4459273152_R01C01	Udmurt
4459273152_R01C02	4459273152_R01C02	Udmurt
4459273152_R02C01	4459273152_R02C01	Udmurt
4459273152_R02C02	4459273152_R02C02	Udmurt
4459273153_R01C01	4459273153_R01C01	Udmurt
4459273153_R02C01	4459273153_R02C01	Udmurt
4459273153_R02C02	4459273153_R02C02	Udmurt
4459273154_R01C02	4459273154_R01C02	Udmurt
4459273154_R02C01	4459273154_R02C01	Udmurt
4459273154_R02C02	4459273154_R02C02	Udmurt
4459273156_R02C01	4459273156_R02C01	Udmurt
4459273169_R01C01	4459273169_R01C01	Udmurt
4459273169_R01C02	4459273169_R01C02	Udmurt
4459273169_R02C01	4459273169_R02C01	Udmurt
4459273169_R02C02	4459273169_R02C02	Udmurt
4459273519_R01C01	4459273519_R01C01	Udmurt
4459273519_R01C02	4459273519_R01C02	Udmurt
4459273519_R02C01	4459273519_R02C01	Udmurt
4459273519_R02C02	4459273519_R02C02	Udmurt
4459273520_R01C01	4459273520_R01C01	Udmurt
4459273520_R01C02	4459273520_R01C02	Udmurt
4459273520_R02C01	4459273520_R02C01	Udmurt
4459273520_R02C02	4459273520_R02C02	Udmurt
4459273477_R01C02	4459273477_R01C02	Uzbek
4459273477_R02C01	4459273477_R02C01	Uzbek
4459273477_R02C02	4459273477_R02C02	Uzbek
4459273478_R01C01	4459273478_R01C01	Uzbek
4459273478_R01C02	4459273478_R01C02	Uzbek
4459273478_R02C01	4459273478_R02C01	Uzbek
4459273478_R02C02	4459273478_R02C02	Uzbek
4459273479_R01C01	4459273479_R01C01	Uzbek
4459273479_R01C02	4459273479_R01C02	Uzbek
4459273479_R02C01	4459273479_R02C01	Uzbek
4459273479_R02C02	4459273479_R02C02	Uzbek
4459273495_R01C01	4459273495_R01C01	Uzbek
4459273495_R01C02	4459273495_R01C02	Uzbek
4459273495_R02C01	4459273495_R02C01	Uzbek
4459273495_R02C02	4459273495_R02C02	Uzbek
4459273506_R01C01	4459273506_R01C01	Uzbek
4459273506_R01C02	4459273506_R01C02	Uzbek
4459273506_R02C01	4459273506_R02C01	Uzbek
4459273506_R02C02	4459273506_R02C02	Uzbek
4459273507_R01C01	4459273507_R01C01	Uzbek
4459273507_R01C02	4459273507_R01C02	Uzbek
4459273507_R02C01	4459273507_R02C01	Uzbek
4459273507_R02C02	4459273507_R02C02	Uzbek
4459273508_R01C01	4459273508_R01C01	Uzbek
4459273508_R01C02	4459273508_R01C02	Uzbek
4459273508_R02C01	4459273508_R02C01	Uzbek
4459273508_R02C02	4459273508_R02C02	Uzbek
4459273513_R01C01	4459273513_R01C01	Uzbek
4459273513_R01C02	4459273513_R01C02	Uzbek
4459273513_R02C01	4459273513_R02C01	Uzbek
4459273513_R02C02	4459273513_R02C02	Uzbek
4459273514_R01C01	4459273514_R01C01	Uzbek
4459273514_R01C02	4459273514_R01C02	Uzbek
4459273514_R02C01	4459273514_R02C01	Uzbek
4459273514_R02C02	4459273514_R02C02	Uzbek
4459273518_R01C01	4459273518_R01C01	Uzbek
4459273518_R01C02	4459273518_R01C02	Uzbek
4459273518_R02C01	4459273518_R02C01	Uzbek
4459273518_R02C02	4459273518_R02C02	Uzbek
4459273536_R01C01	4459273536_R01C01	Tatar
4459273536_R01C02	4459273536_R01C02	Tatar
4459273536_R02C01	4459273536_R02C01	Tatar
4459273536_R02C02	4459273536_R02C02	Tatar
4459273538_R01C01	4459273538_R01C01	Tatar
4459273538_R01C02	4459273538_R01C02	Tatar
4459273538_R02C01	4459273538_R02C01	Tatar
4459273538_R02C02	4459273538_R02C02	Tatar
4459273542_R01C01	4459273542_R01C01	Tatar
4459273542_R01C02	4459273542_R01C02	Tatar
4459273542_R02C01	4459273542_R02C01	Tatar
4459273542_R02C02	4459273542_R02C02	Tatar
4459273543_R01C01	4459273543_R01C01	Tatar
4459273543_R01C02	4459273543_R01C02	Tatar
4459273543_R02C01	4459273543_R02C01	Tatar
4459273543_R02C02	4459273543_R02C02	Tatar
4459273545_R01C01	4459273545_R01C01	Tatar
4459273545_R01C02	4459273545_R01C02	Tatar
4459273545_R02C01	4459273545_R02C01	Tatar
4459273546_R01C01	4459273546_R01C01	Ket
4459273546_R01C02	4459273546_R01C02	Ket
4459273546_R02C01	4459273546_R02C01	Ket
4459273546_R02C02	4459273546_R02C02	Ket
4459273570_R01C02	4459273570_R01C02	Ket
